Name,Market Cap (Millions),Shares Outstanding (Millions),Float Shares,Regular Market Price,Regular Market Change,Regular Market Change (%),Enterprise to Revenue,Enterprise to EBITDA,Book Value,Beta,P/E Ratio,P/B Ratio,Payout Ratio,Total Revenue,Gross Profits,EBITDA,Operating Margins,Profit Margins,Price to Sales (TTM),Forward EPS,Trailing EPS,Operating Cash Flow,Free Cash Flow,Total Cash,Total Debt,Total Cash Per Share,Debt to Equity Ratio,Quick Ratio,Current Ratio,50 Day Average,200 Day Average,52 Week Change,52 Week High,52 Week Low,Revenue Growth,ICB Industry,Valuation Label
ingenta plc,2.9016478068752386e-06,0.00020228293732124444,0.00016900841657077522,0.0028562948336981224,0.4285377594562803,0.5052579457145905,0.13106844893733632,0.8845509093019556,1.861236293106092e-05,0.18709580388028277,0.02131018469542722,0.5109302701674691,0.011466666666666665,8.256649468530878e-08,1.930392972967281e-06,9.428877744562094e-06,0.9230702609873568,0.11541556425108178,0.13229281184612823,0.2613696798407561,0.014688218538728167,0.0003799886240268133,0.0018175860715008243,2.668332182730125e-08,0.0,5.336241473227484e-06,,0.0015564044169794628,0.0017050991449901213,0.003120486696509381,0.005381852821177802,0.0012656737736661807,0.008162174947331185,0.005343364609827516,0.002252728091901124,Technology,1
europa metals limited,3.3596491508783127e-07,0.0013615531209729323,0.001499473850105214,4.984801334964493e-05,0.42008532423442396,0.33069901829736426,,,1.5984815934158476e-05,0.2543239584899985,0.001665379138461527,0.5031950767558583,0.0,,,,0.9230634188061807,0.11000015679957365,,,0.01456810460207969,0.00037996757720541263,0.0018175470711553152,4.98410184014339e-08,1.1596423507838012e-08,1.4693998259611914e-06,0.0009408104409941707,0.007614080164989565,0.007609833950727555,6.458502939557081e-05,4.635600538188483e-05,0.003365283671915232,0.00012438526884905166,2.1373458439310068e-06,,Unknown,1
ceps plc,1.5548235369283034e-06,0.0002927555570389197,0.00014485284291426993,0.0010743240063530192,0.42025569799912493,0.4189943890406047,0.1310732895182685,0.8848499634633828,1.6513069507948262e-05,0.16596480673785532,0.024048874449516495,0.5135049920313192,0.0,1.5020679491328364e-07,2.0046741859295406e-06,9.457080739931465e-06,0.9230691506679842,0.11082602637483678,0.1322713278215036,,0.014585263735886615,0.00038001174403345397,0.001817689363661266,1.5205475041188058e-08,5.466580145847149e-07,2.113873433838907e-06,0.03297248507336626,0.0007145554299259665,0.0009573800092635875,0.001217725850979031,0.0013700424332108879,0.004423532627913101,0.001568813782118035,1.977044905636181e-05,0.0026880009774549007,Financials,0
beeks financial cloud group plc,5.298610733272035e-05,0.0009379845667674923,0.0007958016793143445,0.010627784077190238,0.3972552278146645,0.3614984934364799,0.13122139568001573,0.8892698184847623,1.9668870078640492e-05,0.19769890209053995,0.23799522478428772,0.5268332601138805,0.0,1.5290230292197547e-07,1.994631218966795e-06,9.490813734392867e-06,0.9230649527481651,0.11295510278690586,0.13241932359895026,0.25565634924252784,0.014585263735886615,0.0003800916778952756,0.0018182626213094901,6.507596478935815e-08,1.0103369948745606e-07,2.835683874661948e-06,0.0010131176264288073,0.0023415596348921267,0.0025170001807790186,0.013428003003596426,0.017099060895629372,0.004495490441578087,0.017110431303434124,0.017312501335841154,0.003102910219240079,Technology,-2
w.a.g payment solutions plc,0.00015787075472504137,0.00962585803229922,0.0031991989807016526,0.0031550370018118604,0.41836265717873705,0.40250937844605883,0.13106399872583416,0.8857024451282896,1.824875982182899e-05,0.19551812302601895,,0.5132879944865969,0.0,7.482453655058957e-06,4.448806770569097e-06,1.0487481424409235e-05,0.9230652192022814,0.11004840895727853,0.13227294006020332,0.2421631642126696,0.014533786334465839,0.00038173967689942955,0.0018260360959656756,9.536459457972039e-07,2.0807148874854555e-05,4.0215153131569445e-06,0.03131350496008909,0.0009231457126139358,0.0009894709592947692,0.0033862508036069036,0.004840800707407419,0.0035434333151731553,0.004603877136449123,0.006091435655203368,,Industrials,-2
the character group plc,1.7095279375899417e-05,0.00025549892722051434,0.0002342380800836891,0.013119922690139051,0.42576918888566284,0.43080395804406224,0.1310622811003421,0.8846549281407129,2.9842896701111316e-05,0.23680252669574375,0.03388964493922998,0.510572959237695,0.012216667333333332,4.5899701323082245e-07,2.176130727308333e-06,9.515159218200478e-06,0.9230672454931682,0.11160005486868499,0.13227910550055014,0.27583534667456805,0.0149799238134459,0.0003801380548754209,0.0018186541815052232,1.295933587889488e-07,1.1976088802532554e-07,2.0107576565784722e-05,0.0012190092730901456,0.0010889482450069368,0.001822765961771121,0.014313148952002063,0.017957302093306187,0.003380404298047529,0.01779070412423247,0.023557825891807552,0.002588728214082987,Consumer Discretionary,0
"maxcyte, inc.",8.325478700350844e-05,0.0014781088667486944,0.0016883104924736725,0.011016673004804963,0.4159963450079638,0.4083218720975079,0.13114078439271787,0.8831291609013043,2.9026504814345283e-05,0.28064370582042414,,0.5096175036062934,0.0,1.7717516973760616e-07,2.165422894936904e-06,8.78215109465013e-06,0.9229798169963838,0.06761562098285834,0.13246113414554986,0.2416161431979456,0.014036171454065001,0.00037959529628350753,0.001815958429509809,1.3713223935777128e-06,9.329450776020393e-07,3.7559921867113256e-05,0.0017809218921033812,0.010792140318148317,0.011636178481306486,0.013226407846710015,0.019871789081355323,0.002713010198221729,0.021453711620838957,0.018915510718789406,0.0014127277864464675,Unknown,-1
rws holdings plc,0.00015850103573399112,0.005155397477973753,0.00437650508388542,0.0034380558979196117,0.4193091730692917,0.41137628010071003,0.13106692649655927,0.8840135574371933,3.238125802971159e-05,0.23650172958339602,0.017755908723923682,0.5037618028526762,0.015949999333333333,2.43586131522557e-06,4.8333965565479295e-06,1.147272494556962e-05,0.9230752548895571,0.11263767540915479,0.13228648594555653,0.27302426646001426,0.014756855073955868,0.0003810048222807772,0.0018250088714142124,5.45929392907661e-07,5.256028606208672e-06,4.3050837006231395e-06,0.0023017787363359336,0.001753228068336316,0.0018741114818210114,0.006587317507872117,0.01011253606102745,0.0014196428802919093,0.011092633273294896,0.006860880159018532,0.002548000926545791,Industrials,0
domino's pizza group plc,0.0004073479085744105,0.005457130872095201,0.005784502980733266,0.014255667038038121,0.4226220012725979,0.4236327033697973,0.13114293142458294,0.8865603641415857,1.420110256811504e-05,0.2647766581440818,0.04162921143394646,0.4080099184475796,0.007821666666666666,2.257379359216929e-06,4.679427725063326e-06,1.107618354726284e-05,0.9230725768285237,0.11541317158210468,0.13232187835124268,0.27685341356308213,0.014928446412025124,0.0003813910688372149,0.0018240821706942102,4.633741143996543e-07,2.8318406092899873e-05,3.4285995939094463e-06,,0.0009103093875254454,0.0010440255743477782,0.015666810857914753,0.02002703928756435,0.0030651725985753812,0.018627962980599665,0.027443520636074126,0.0024767281733556992,Consumer Discretionary,2
craven house capital plc,2.055714345108745e-07,5.386130679142856e-05,3.1188554099731024e-05,9.334382480887144e-06,0.4202675295391553,0.4549082674388164,,,1.3370989809302516e-05,0.1970973078658445,,0.5017753141447672,0.0,,,,0.9230634188061807,0.11000015679957365,,,0.01419060365832733,0.00037997347549165655,0.0018175601646788092,2.4787888140404086e-10,0.0,1.8045261020576034e-07,,0.00018077824499624005,0.0001765002251714994,1.0826320892527785e-05,1.4942485466144927e-05,0.0033036892519185995,2.4960779655447053e-05,1.603009382948255e-05,,Financials,2
card factory plc,0.00012390213462446672,0.0048517400385684846,0.005057307837925658,0.0049938002876425865,0.42045352782689827,0.42009824882503183,0.13108921659101305,0.8855988991024356,2.1823046989939105e-05,0.3167393593021507,0.02794669237713399,0.5094736383173403,0.006356666666666667,1.7900694458188818e-06,3.462549062591259e-06,1.0211615396532753e-05,0.9230685991699297,0.11310584113185239,0.13228791449668992,0.2664904043397,0.014739695940148944,0.00038112261378380434,0.0018227329177591125,2.3701286687770033e-07,1.0522403725421692e-05,1.9849787122633636e-06,0.013319432923749212,0.000589401260313185,0.0011659711844662685,0.004801933514616342,0.006555988521182657,0.003573128749279043,0.007547365303365049,0.007801312330348174,0.002695637343868125,Consumer Discretionary,0
coats group plc,0.00044353827760465806,0.022206205592338924,0.02789089418786063,0.003904512967430536,0.4204923247154934,0.42068385681719256,0.13109702397961331,0.8849572919924643,1.7130508750040217e-05,0.281846894269815,0.06556934420193145,0.5266787496869525,0.009811666666666666,5.037308950425134e-06,6.681897357269337e-06,1.3450036816038121e-05,0.9230728844055798,0.11212843585470611,0.13229323224209114,0.24219355426904315,0.01460242286969354,0.0003812856043519465,0.0018417463098955368,1.2960284288137437e-06,3.510054371180776e-05,2.3716628769899927e-06,0.03660050831542845,0.0011435026266330213,0.0016430566415965033,0.004415597877894678,0.006076063893992117,0.0034510414547333198,0.00545160172852091,0.006925000534336461,,Industrials,-1
first class metals plc,8.056875127902553e-07,0.002673011472388336,,6.279350730124023e-05,0.42001906789657645,0.32230345643862446,,,,,,,0.0,,,,0.9230634188061807,0.11000015679957365,,,0.014499468066851987,,,,,,,,,7.975534035449305e-05,0.00013982180784603447,0.0018870198662226403,0.0002998433279365023,2.7785495971103082e-06,,Basic Materials,1
diversified energy company plc,0.00026965110123156175,0.0008273536915995288,0.0008392417975346464,0.04910881516282751,0.42734984161149037,0.4230290977662315,0.13116584611012475,0.8860253763413406,7.618514203812442e-05,0.19694690930967065,,0.5095042192075989,0.017506666666666667,2.5707963056879615e-06,5.090935741878946e-06,1.2306365672694733e-05,0.9230570205276478,0.10536117023174611,0.13229863469086012,0.2456276306392548,0.012148666735303204,0.0003847078996151085,0.0018133880005565194,5.317202624320363e-08,8.990302674567189e-05,3.0161364848677086e-06,0.076405001124438,0.0003369535335728734,0.00042253084207722583,0.05427470694999668,0.07167546677280398,0.0030425201684316536,0.07566622257061494,0.08447859448137303,0.0029756374456863435,Energy,-1
oxford nanopore technologies plc,0.0004341536790245776,0.013319638651430064,0.007093638064339534,0.006308407336791087,0.4227788857598472,0.43022926355728996,0.1312266656673209,0.882172896804092,1.9950147955593497e-05,0.2574071288915627,,0.5156956927117893,0.0,6.576603008505422e-07,2.811637079261035e-06,7.544699151485034e-06,0.9230206132058988,0.07817725863205979,0.13248039312230733,0.2201455683700293,0.014259240193555033,0.0003784684014100709,0.0018079749176108874,3.0036797842654424e-06,2.3778356186592065e-06,9.331977842069319e-06,0.0015960687767973185,0.00391080037696008,0.004984794238176892,0.006056945987200189,0.008710952336018476,0.004323365073438178,0.008852965832512645,0.009083719836706777,0.003016364733223539,Health Care,-1
gem diamonds limited,4.1518088334750076e-06,0.0019479675950553493,0.001613539208288695,0.00041394658210159885,0.4206106437267762,0.4433231119229044,0.13107785684059964,0.8845799872955172,2.2639438876705138e-05,0.28485486539329224,0.01389616627067394,0.5023756198486566,0.0,5.613432254523364e-07,2.1200020896489457e-06,9.744438375677245e-06,0.923065674371258,0.1107486634112438,0.13226903076486513,0.24207199404354893,0.01456810460207969,0.0003806746636551414,0.0018204498827117182,1.1457362424749207e-07,1.3343380496057113e-06,2.3716628769899927e-06,0.00235856234523658,0.0007584128739783088,0.002249575597185838,0.0004882818669139702,0.0007186322190422701,0.0035170976881824492,0.0008205136792398527,0.0007637805373287452,0.0028305464838350846,Basic Materials,1
alphawave ip group plc,0.0003304036498874742,0.010596998141753227,0.006571440534071412,0.006095288866931281,0.41954581785475203,0.4157603478283736,0.1311869650962885,0.8689719605399807,2.011479842015135e-05,0.2821476913821628,,0.5147330604152462,0.0,1.0711233370247963e-06,3.4738342780807554e-06,9.1814305168976e-06,0.9230646699575386,0.10448784625449287,0.13236348825132566,0.2421479691844828,0.014465149799238138,0.00038011316799623483,0.0018219866324973221,1.5992549254801124e-06,1.922578782727004e-05,6.186946635626068e-06,0.015494571956781543,0.0021821752650433707,0.0023276635755950467,0.006569801863093461,0.008149518860988237,0.003499635481333708,0.008371541990101507,0.007544830829076452,0.0040981833084302935,Technology,-1
smiths news plc,4.8570016505974556e-05,0.003341163297996019,0.004071124336473756,0.0027798797317490297,0.4236679103956672,0.45412174538605776,0.13105736244552393,0.8845019731664493,1.554574802867086e-05,0.21552113099714243,0.018664534480763613,0.22742541429101776,0.007353333333333333,3.7171415261928296e-06,2.5299878446220113e-06,9.982322751253322e-06,0.9230655369192403,0.11092133435575802,0.13227054454575057,0.25813313883697253,0.014705377672535092,0.0003802802675702965,0.001818283005811177,6.213770702740651e-08,2.5090294035543365e-06,7.4758938513815e-07,,0.000854685312141987,0.0010386770826759145,0.0030048724248414632,0.003887092416923852,0.003704091481303936,0.003714289601558976,0.004830401607284075,0.00264981914538878,Industrials,2
applied nutrition plc,0.00010749728071394543,0.0034851852028442826,0.0023990577453026837,0.00603187166984047,0.42046865663306754,0.4199780750702305,0.13117447327452805,0.8868714750320508,1.6794347384901263e-05,,0.0675294636927318,0.5514286266768232,0.0,3.424438850823827e-07,2.247359753136824e-06,9.683647770048655e-06,0.9230770288086813,0.11692454081930762,0.13237638566927154,,0.014636741137307391,0.0003800606101124185,,9.675766253076418e-08,8.794536053695612e-08,1.134273549864779e-06,0.0008196856925118557,0.0026956282685829873,0.004669233229536938,0.006670158796385003,0.008908818176124295,0.003019724711346746,0.008266884633055608,0.011133434501036614,0.002667637333686303,Consumer Staples,-1
